date;steps;distance;calories;heart_rate
01.11.2016;30190;22446;753;70
02.11.2016;16513;12126;412;72
03.11.2016;19682;14068;466;75
04.11.2016;2207;1427;61;75
05.11.2016;3443;2225;93;71
06.11.2016;9662;7195;248;72
07.11.2016;13192;9757;340;73
08.11.2016;18606;13315;450;71
09.11.2016;17586;13037;455;72
10.11.2016;21344;15312;509;72
11.11.2016;16311;11851;417;71
12.11.2016;9921;7326;267;72
13.11.2016;6737;4961;187;74
14.11.2016;13734;10222;356;72
15.11.2016;11587;8409;295;70
16.11.2016;12303;8881;298;73
17.11.2016;15141;10504;353;75
18.11.2016;11619;8564;293;72
19.11.2016;17816;13346;436;70
20.11.2016;4327;3069;108;74
21.11.2016;14434;10803;373;74
22.11.2016;12083;8972;313;73
23.11.2016;23947;17500;602;70
24.11.2016;19426;13863;467;70
25.11.2016;8535;6323;226;72
26.11.2016;12832;9357;324;70
27.11.2016;1240;802;39;71
28.11.2016;12886;9291;336;72
29.11.2016;15865;11395;394;72
30.11.2016;10835;7151;232;74
01.12.2016;10000;7076;248;73
02.12.2016;22077;16118;565;72
03.12.2016;10512;7575;263;71
04.12.2016;3333;2291;88;71
05.12.2016;17520;12353;416;72
06.12.2016;14459;10492;350;74
07.12.2016;20565;15305;506;71
08.12.2016;24919;18342;606;73
09.12.2016;13301;9340;304;72
10.12.2016;11995;8053;270;72
11.12.2016;4267;2782;111;75
12.12.2016;13909;9262;291;73
13.12.2016;9744;7005;244;75
14.12.2016;18838;13601;464;75
15.12.2016;13645;9984;340;75
16.12.2016;22452;15995;528;74
17.12.2016;10979;7878;264;75
18.12.2016;19452;14814;495;73
19.12.2016;13637;9741;344;75
20.12.2016;27032;19965;657;74
21.12.2016;20437;14434;482;70
22.12.2016;12226;8799;292;71
23.12.2016;21049;15788;532;73
24.12.2016;12603;9173;309;70
25.12.2016;2753;1895;75;72
26.12.2016;15457;10820;352;73
27.12.2016;20188;14165;455;75
28.12.2016;11157;8228;285;74
29.12.2016;13039;9461;310;70
30.12.2016;16310;11830;418;71
31.12.2016;6426;4465;153;71
01.01.2017;805;520;23;72
02.01.2017;828;535;26;71
03.01.2017;22320;16416;570;75
04.01.2017;17713;11524;339;74
05.01.2017;6207;4515;164;74
06.01.2017;1516;980;46;71
07.01.2017;11295;8629;313;70
08.01.2017;10440;7407;252;74
09.01.2017;14209;10290;351;73
10.01.2017;11725;8621;303;70
11.01.2017;20166;14429;502;72
12.01.2017;23969;17019;558;70
13.01.2017;13294;9576;327;74
14.01.2017;10972;7930;281;71
15.01.2017;14802;10841;359;73
16.01.2017;23473;17310;579;71
17.01.2017;14445;10497;350;72
18.01.2017;16882;11759;379;74
19.01.2017;13698;9166;299;71
20.01.2017;17057;12219;404;70
21.01.2017;3429;2396;94;75
22.01.2017;3269;2122;88;74
23.01.2017;13387;9284;307;73
24.01.2017;13882;9397;305;73
25.01.2017;5230;3420;119;75
26.01.2017;0;0;0;75
27.01.2017;0;0;0;75
28.01.2017;0;0;0;74
29.01.2017;0;0;0;70
30.01.2017;0;0;0;75
31.01.2017;0;0;0;73
01.02.2017;0;0;0;72
02.02.2017;55;36;2;74
03.02.2017;5912;4146;143;74
04.02.2017;834;539;25;73
05.02.2017;5984;4231;146;75
06.02.2017;9029;6495;229;73
07.02.2017;11806;8605;293;75
08.02.2017;10917;7834;265;75
09.02.2017;9390;7169;255;72
10.02.2017;7200;5045;174;72
11.02.2017;19223;13597;438;72
12.02.2017;3540;2430;87;71
13.02.2017;36318;26544;829;73
14.02.2017;26012;18415;565;74
15.02.2017;21264;15176;479;71
16.02.2017;21099;15291;499;74
17.02.2017;17218;12160;373;73
18.02.2017;0;0;0;70
19.02.2017;0;0;0;73
20.02.2017;20915;15347;483;70
21.02.2017;23366;17019;549;72
22.02.2017;32974;23637;729;70
23.02.2017;6910;4805;159;74
24.02.2017;4586;3192;119;73
25.02.2017;903;584;27;71
26.02.2017;5026;3500;131;72
27.02.2017;22002;16204;542;74
28.02.2017;20949;15337;508;74
01.03.2017;18709;13264;435;70
02.03.2017;9121;6764;222;72
03.03.2017;23131;16709;532;72
04.03.2017;18877;14055;478;75
05.03.2017;2968;2018;78;71
06.03.2017;18119;12822;420;71
07.03.2017;8868;6569;231;72
08.03.2017;12592;9285;300;72
09.03.2017;16910;12835;457;70
10.03.2017;15071;10857;353;73
11.03.2017;1146;741;34;74
12.03.2017;1231;796;37;72
13.03.2017;13076;9675;340;73
14.03.2017;25369;17963;588;70
15.03.2017;11828;8189;275;75
16.03.2017;13386;9214;301;74
17.03.2017;12221;8615;283;72
18.03.2017;2403;1692;69;73
19.03.2017;1367;884;40;70
20.03.2017;4096;2877;106;71
21.03.2017;16099;11437;388;75
22.03.2017;9849;7350;264;71
23.03.2017;19111;13907;472;70
24.03.2017;17162;12702;415;71
25.03.2017;1161;750;33;70
26.03.2017;4920;3611;129;74
27.03.2017;10688;7634;261;70
28.03.2017;15290;11081;375;73
29.03.2017;22507;16126;549;70
30.03.2017;14097;9913;333;73
31.03.2017;12988;9305;318;74
01.04.2017;7721;5889;204;74
02.04.2017;3296;2286;86;72
03.04.2017;18924;13724;453;70
04.04.2017;18336;13278;432;70
05.04.2017;15375;11484;388;73
06.04.2017;20230;15139;511;75
07.04.2017;11657;8437;281;75
08.04.2017;10972;7939;276;71
09.04.2017;37255;27868;894;72
10.04.2017;24167;17392;564;70
11.04.2017;18940;14269;487;73
12.04.2017;11702;8894;313;70
13.04.2017;12548;9210;312;70
14.04.2017;13242;9695;343;71
15.04.2017;4238;2794;100;72
16.04.2017;16954;11974;392;74
17.04.2017;10228;7153;247;73
18.04.2017;11196;7735;248;71
19.04.2017;14413;9830;319;72
20.04.2017;6720;4643;171;75
21.04.2017;16906;12227;422;70
22.04.2017;32210;23114;712;74
23.04.2017;36537;26240;793;73
24.04.2017;23665;17251;559;74
25.04.2017;443;286;11;73
26.04.2017;22493;16505;555;70
27.04.2017;1154;755;28;73
28.04.2017;22243;15974;532;72
29.04.2017;3299;2291;83;73
30.04.2017;15212;10782;348;74
01.05.2017;977;632;26;71
02.05.2017;0;0;0;73
03.05.2017;0;0;0;71
04.05.2017;171;111;4;71
05.05.2017;10750;7361;254;74
06.05.2017;12307;8289;281;75
07.05.2017;3169;2183;83;74
08.05.2017;3887;2825;96;75
09.05.2017;3766;2623;104;74
10.05.2017;4578;3237;123;73
11.05.2017;7143;4817;162;75
12.05.2017;13748;10094;350;72
13.05.2017;15947;10799;357;70
14.05.2017;9360;7207;267;73
15.05.2017;5966;4031;139;72
16.05.2017;3809;2723;104;75
17.05.2017;5900;4033;139;71
18.05.2017;9813;6536;220;74
19.05.2017;6429;4347;148;74
20.05.2017;13506;8932;290;72
21.05.2017;3544;2346;98;71
22.05.2017;5936;4074;146;74
23.05.2017;12618;9195;310;72
24.05.2017;17604;12798;411;72
25.05.2017;10338;7845;270;73
26.05.2017;6952;4849;164;74
27.05.2017;26122;18349;576;75
28.05.2017;20480;14344;454;73
